dataset,measurement,label,k,seed,status,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,score
tiny_human_kidney_protein_v4,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,358,1773,1.0,96.76161193847656,78.58316040039062,0.8121315760051181,36.44480895996094,18.431228637695312,102.17347717285156,77.69300842285156,0.23723149299621582,1449,1773,neighbor_union_v1,4,24,1,12,0.125,0.0,1.0,0.0,69.5179672241211
tiny_human_kidney_protein_v4,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.125,0,,ok,False,358,4603,1.0,96.76161193847656,76.53361511230469,0.790950187569908,36.31131362915039,19.276206970214844,101.0100326538086,77.69300842285156,0.24810735881328583,3412,4603,neighbor_union_v1,4,24,1,12,0.0,0.0,1.0,0.125,69.78122329711914
tiny_human_kidney_protein_v4,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0.125,0,,ok,False,358,5310,1.0,96.76161193847656,69.9100112915039,0.7224973818744816,39.555057525634766,24.86336898803711,92.82330322265625,77.69300842285156,0.3200206756591797,3911,5310,neighbor_union_v1,4,24,1,12,0.125,0.0,1.0,0.125,71.27502059936523
tiny_human_kidney_protein_v4,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,358,358,1.0,96.76161193847656,90.20394134521484,0.9322285929110891,35.098358154296875,10.048086166381836,124.09446716308594,77.69300842285156,0.12933063507080078,262,358,neighbor_union_v1,4,24,1,12,0.0,0.0,1.0,0.0,72.0953197479248
tiny_human_kidney_protein_v4,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.25,0,,ok,False,358,4603,1.0,96.76161193847656,69.18152618408203,0.7149687236304968,39.98635482788086,27.15428352355957,90.8621597290039,77.69300842285156,0.3495074212551117,3412,4603,neighbor_union_v1,4,24,1,12,0.0,0.0,1.0,0.25,72.58536338806152
tiny_human_kidney_protein_v4,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,358,1773,1.0,96.76161193847656,71.58183288574219,0.7397751179595446,40.181915283203125,25.942230224609375,95.42418670654297,77.69300842285156,0.333906888961792,1449,1773,neighbor_union_v1,4,24,1,12,0.25,0.0,1.0,0.0,73.65432357788086
tiny_human_kidney_protein_v4,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0.25,0,,ok,False,358,5310,1.0,96.76161193847656,64.8597640991211,0.6703047086520276,42.539737701416016,30.804149627685547,86.26983642578125,77.69300842285156,0.39648547768592834,3911,5310,neighbor_union_v1,4,24,1,12,0.125,0.0,1.0,0.25,73.93906784057617
tiny_human_kidney_protein_v4,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0.125,0,,ok,False,358,5310,1.0,96.76161193847656,65.57508850097656,0.6776973552556238,42.60692596435547,30.349876403808594,87.83443450927734,77.69300842285156,0.39063844084739685,3911,5310,neighbor_union_v1,4,24,1,12,0.25,0.0,1.0,0.125,74.26709365844727
tiny_human_kidney_protein_v4,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0.25,0,,ok,False,358,5310,1.0,96.76161193847656,61.925018310546875,0.6399750590132824,44.895118713378906,33.049835205078125,87.70684814453125,77.69300842285156,0.4253900945186615,3911,5310,neighbor_union_v1,4,24,1,12,0.25,0.0,1.0,0.25,76.90325927734375
tiny_human_kidney_protein_v4,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.5,0,,ok,False,358,4603,1.0,96.76161193847656,61.94519805908203,0.6401836101952117,45.38092041015625,34.276832580566406,86.06919860839844,77.69300842285156,0.4411829710006714,3412,4603,neighbor_union_v1,4,24,1,12,0.0,0.0,1.0,0.5,77.31143188476562
